,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,uni_handle,compound,Sentiment
76,"Congratulations to the winners of @IntelIndia - PESU Student Contest. Best completed submission runners-up Madhav Kashyap, Anuj Tambwekar and Rohit Menon for their submission on Q&A using NLP. #IntelIndia",PES University,1134816103237005312,2019-06-01 13:36:57,['IntelIndia'],PESUniversity,1,1.0,0.9042,Positive
77,"Congratulations to the winners of @IntelIndia - PESU Student Contest. Best completed submission winners Anush Kini, Rajath S and Sumukh Aithal for their submission on ADAS Object detection in low light. #IntelIndiapic.twitter.com/qhuJceAXxa",PES University,1134815717830713344,2019-06-01 13:35:25,['IntelIndiapic'],PESUniversity,0,1.0,0.9217,Positive
78,"Project Mela raises the bar for innovation: PES University, EC Campus held its annual Project Mela. The event which started on a small scale in 2009, has grown into a huge showcase for the capstone projects of final year students. https://news.pes.edu/10194 pic.twitter.com/P76PEvVKqj",PES University,1146084003667070976,2019-07-02 15:51:34,[],PESUniversity,1,1.0,0.5994,Positive
79,"Project Mela raises the bar for innovation: PES University, EC Campus held its annual Project Mela. The event which started on a small scale in 2009, has grown into a huge showcase for the capstone projects of final year students. https://news.pes.edu/10194 pic.twitter.com/P76PEvVKqj",PES University,1146084003667070976,2019-07-02 15:51:34,[],PESUniversity,1,1.0,0.5994,Positive
80,Take PESSAT for LAW in your city on June 30 (Delhi & Kolkata) - PES is hosting information session and entrance test in your city for interested students and their families. Take PESSAT and get a chance to secure a seat at PES University. http://www.pessat.com/law pic.twitter.com/L22tZD9lxC,PES University,1144257090007048192,2019-06-27 14:52:04,[],PESUniversity,0,1.0,0.7269,Positive
81,"PES University's 5 Years Integrated Law Programs entrance test will take place in Delhi and Kolkata on 30th June 2019.

For full details, click here: http://tinyurl.com/y4zcjyzh pic.twitter.com/2sdMRIeFl3",Lawctopus,1144122262003408896,2019-06-27 05:56:18,[],Lawctopus,0,0.0,0.0,Neutral
82,Take PESSAT for LAW in your city on June 30 (Delhi & Kolkata) - PES is hosting information session and entrance test in your city for interested students and their families. Take PESSAT and get a chance to secure a seat at PES University. http://www.pessat.com/law pic.twitter.com/L22tZD9lxC,PES University,1144257090007048192,2019-06-27 14:52:04,[],PESUniversity,0,1.0,0.7269,Positive
83,"PES University's 5 Years Integrated Law Programs entrance test will take place in Delhi and Kolkata on 30th June 2019.

For full details, click here: http://tinyurl.com/y4zcjyzh pic.twitter.com/2sdMRIeFl3",Lawctopus,1144122262003408896,2019-06-27 05:56:18,[],Lawctopus,0,0.0,0.0,Neutral
84,"Congratulations Rohith Raj R, PES University (@PESUniversity)- College of Engineering for making it to #ETCampusStars Class 2018-19.

ETCS- an initiative by @Economictimes in association with @IndianOilcl, @myamcat, @bennettunivpic.twitter.com/jkv2yl9fDF",ET Campus Stars,1156468268544094208,2019-07-31 07:34:56,['ETCampusStars'],ETCampusStars,0,0.0,0.5994,Positive
85,Campus recruitment at PESIT @PESUniversity Looking forward add some amazing talent to @MuSigmaInc #sigmaxing,Bharath Rao,1156418521720487936,2019-07-31 04:17:15,['sigmaxing'],Bharath_Rao,1,0.0,0.765,Positive
86,"Volunteering for prestigious conferences: Students of hospitality program, #PESUniversity contributed to the success of 48th #Skal Asia Congress 2019 aimed at promoting global tourism & friendship. Student volunteers handled logistic work & took part in flag parade.pic.twitter.com/yPbSDzdmHG",PES University,1156223106005946368,2019-07-30 15:20:44,"['PESUniversity', 'Skal']",PESUniversity,0,1.0,0.8442,Positive
87,"PES University is calling applications for their BBA LLB - 5 Years Integrated Law Program of session 2019-20.

To apply, click here: http://tinyurl.com/y4sdltfr pic.twitter.com/cKU2EYTDiH",Lawctopus,1156081868808192000,2019-07-30 05:59:31,[],Lawctopus,0,0.0,0.0,Neutral
88,"I don't race, 
I don't chase,
that's why I can't be replaced  @ PES University https://www.instagram.com/p/B0gzREPgOOKA5_LxSJArUBL5gdXNYbOseds3Ck0/?igshid=ys3buknbqej2 …",Adhikansh Mittal,1155924065112252416,2019-07-29 19:32:27,[],AdhikanshMittal,0,0.0,0.0,Neutral
89,"PES in the NEWS: Global provider of team collaboration and productivity software, Atlassian Corporation opened an R&D centre. The company was the top recruiter at #PESU, last year offering the highest compensation of ₹ 48 lakh plus benefits for IT talent.https://bit.ly/2SO5vmn ",PES University,1155491716029243392,2019-07-28 14:54:27,['PESU'],PESUniversity,0,1.0,0.5267,Positive
