,Tweet_text,date,username,retweets,uni_handle,compound,Sentiment
59,Looking forward for interactive Leadership Talk on Sustainability with faculties & student of Xavier School of Sustainability at department of MBA - Sustainability Management on 13 June 2020.,2020-06-12 05:53:51+00:00,mritunjayc2,0,0.0,0.0,Neutral
60,"Thank you, The value of BHU needs to be corrected.",2020-06-12 05:47:34+00:00,piyer73,0,0.0,0.5994,Positive
61,"Why only for those CREAMY LAYERs STs SCs and OBCs . If a general category family is earning 600000/annum and a OBC is earning 1000000/annum Still even in IIT,AIR 69 getting IITDELHI while AIR 500 Getting IITBOMBAY @iitbombay @PMOIndia #GeneralCategoryReservation It is our right",2020-06-12 05:39:39+00:00,Ayushku20363782,0,0.0,0.0,Neutral
62,Kudos to IIT Madras for securing the first rank again this year in NIRF #rankings @iitdelhi @iitmadras @iitbombay @iiscbangalore @Delhiuniversit @SamagraShiksha https://eduvoice.in/iit-madras-secures-top-position-in-government-rankings/ #eduvoice #eduvoicesocial #NIRFRankings2020 #NIRF2020 #HigherEducation #highered #IIT,2020-06-12 05:38:51+00:00,eduvoicesocial,0,0.0,0.6808,Positive
63,"See you all at our exclusive #TandFwebinar for @iitdelhi on Friday, 12th June 2020 from 4:00 PM - 5:30 PM IST #ExcellenceinPeerReview #reviewertrainingnetwork Register today: https://bit.ly/2BRzNQK",2020-06-12 05:30:09+00:00,tandfbiosci,0,0.0,0.128,Positive
64,"See you all at our exclusive #TandFwebinar for @iitdelhi on Friday, 12th June 2020 from 4:00 PM - 5:30 PM IST #ExcellenceinPeerReview #reviewertrainingnetwork Register today: https://bit.ly/2MWokl7",2020-06-12 05:30:07+00:00,tandfphysci,1,0.0,0.128,Positive
65,"See you all at our exclusive #TandFwebinar for @iitdelhi on Friday, 12th June 2020 from 4:00 PM - 5:30 PM IST #ExcellenceinPeerReview #reviewertrainingnetwork Register today: https://bit.ly/2MQlMFl",2020-06-12 05:30:07+00:00,tandfSTEM,0,0.0,0.128,Positive
66,"See you all at our exclusive #TandFwebinar for @iitdelhi on Friday, 12th June 2020 from 4:00 PM - 5:30 PM IST #ExcellenceinPeerReview #reviewertrainingnetwork Register today: https://bit.ly/3cWcBxM",2020-06-12 05:30:07+00:00,tandfenviro,0,0.0,0.128,Positive
67,"Either deliberately or by mistake, HRD Minister replaced Jawaharlal Nehru University with IIT Delhi while quoting top-ranked university as per NIRF ranking.",2020-06-12 04:52:37+00:00,DMcgregorX,0,0.0,-0.34,Negative
68,"CERCA will function as think-tank and Action Centre hosted at and drawing from the high quality research expertise available at IIT Delhi and working along with multiple stakeholders including Government, academia and Industry for finding sustainable clean air solutions ..",2020-06-12 04:43:12+00:00,CercaIitd,0,0.0,0.5267,Positive
69,"Sorry for the inconvenience caused to you, Please share your mobile number we will resolve your issue.",2020-06-12 04:36:37+00:00,AndreSwapnil,0,0.0,0.5574,Positive
70,Why the ranking of the Indian Universities is released now by the government!? × Very simple. × Just to divert attention from the international rankings of our IITs & other universities going down this year w.r.t previous rankings. @iitmadras @iitbombay @iitdelhi @IITKanpur #HRD,2020-06-12 04:36:30+00:00,SivaYp,0,0.0,0.0,Neutral
71,"They are not satisfied with Gods Gift of beauty, see the SAD STORY crores these institutions spend in getting this rankings accreditation MOUs with foreign but have they got the compassion to help thousands begging aid @ketto @milaapdotorg Really we are making mess of education",2020-06-12 04:24:34+00:00,loveall68866200,0,0.0,0.6775,Positive
72,contributions by alumni of this university is 10000 times more than alumni by all this 100 plus top institutions alumni put together. this addiction to ranking accreditation etc. is like those people who spend thousands going to beauty saloons to beautify themselves,2020-06-12 04:22:31+00:00,loveall68866200,0,0.0,0.886,Positive
