id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSURjbUpDMzNBRRAB,,2 months ago,2020-08-01 15:20:18.238565,5.0,Rathna Thakur,1,0,https://www.google.com/maps/contrib/115198654062354697708?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjNk5mVTh3RRAB,,2 months ago,2020-08-01 15:20:18.240149,5.0,Bikram Khati,0,0,https://www.google.com/maps/contrib/104629866611531919375?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjcUpXYTlBRRAB,(Translated by Google) Mein saikia  (Original) Mein saikia,2 months ago,2020-08-01 15:20:18.241065,5.0,Mrinal Saikia,1,0,https://www.google.com/maps/contrib/116618630993162070220?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNjbjRxMGtBRRAB,Good campus,2 months ago,2020-08-01 15:20:18.242374,4.0,shubhakara Rao,0,0,https://www.google.com/maps/contrib/113207124029974575068?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNjeTZ1Z0ZREAE,Awesome college...,3 months ago,2020-08-01 15:20:18.243824,5.0,vamshi nemalikonda,2,0,https://www.google.com/maps/contrib/100768060889069966494?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNjazhUWVFnEAE,,4 months ago,2020-08-01 15:20:18.245387,2.0,INTO TULUNADU,1,0,https://www.google.com/maps/contrib/112708639486435328607?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNjX1plRkdnEAE,,4 months ago,2020-08-01 15:20:18.246810,5.0,Amogh Nayak,230,0,https://www.google.com/maps/contrib/110552318723848822899?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNjcmZIQXJRRRAB,Good courses,4 months ago,2020-08-01 15:20:18.248085,5.0,Rajesh A E,0,0,https://www.google.com/maps/contrib/114290985328315935514?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNjcllxb1N3EAE,Good atmosphere calm and quite,4 months ago,2020-08-01 15:20:24.834420,5.0,natraj prabhu,0,0,https://www.google.com/maps/contrib/108746085705124494950?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNjeGZ6Q0Z3EAE,,4 months ago,2020-08-01 15:20:24.835277,5.0,vaibhav soni,3,0,https://www.google.com/maps/contrib/104773554614936096650?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURzenVHTmxBRRAB,National Institute of technology Karnataka Surathkal is a premier technical institute located in Mangaluru formerly known as KREC founded by Sri U Srinivasa Mallya. Started in 1960.  Offers UG & PG programs in Engineering.,4 months ago,2020-08-01 15:20:24.836126,4.0,Preetha Mnz,0,0,https://www.google.com/maps/contrib/114199839268646659290?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURzdVlteS1BRRAB,One of the best nits ........,4 months ago,2020-08-01 15:20:24.836976,5.0,Naresh. C,0,0,https://www.google.com/maps/contrib/115854948693490664773?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURzcWNTT0hnEAE,,4 months ago,2020-08-01 15:20:24.837900,1.0,foyoto sonu,0,0,https://www.google.com/maps/contrib/104207594949914352270?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURzcHVyOTdRRRAB,,4 months ago,2020-08-01 15:20:24.838744,5.0,Adarsh Hegde,0,0,https://www.google.com/maps/contrib/113533934970477272215?hl=en-IN
